semana_inicio,categoria,target,prediccion_naive,error_abs,error_pct
2025-12-22,Sports,0,0,0,0.0
2025-12-29,Sports,0,0,0,0.0
2026-01-05,Sports,0,0,0,0.0
2026-01-12,Sports,0,0,0,0.0
2026-01-19,Sports,0,0,0,0.0
2026-01-26,Sports,0,0,0,0.0
2026-02-02,Sports,0,0,0,0.0
2026-02-09,Sports,0,0,0,0.0
2026-02-16,Sports,0,0,0,0.0
2026-02-23,Sports,0,0,0,0.0
2026-03-02,Sports,6,0,6,100.0
2026-03-09,Sports,8,6,2,25.0
2026-03-16,Sports,0,8,8,100.0
2025-10-13,Tenis,0,0,0,0.0
2025-10-20,Tenis,0,0,0,0.0
2025-10-27,Tenis,0,0,0,0.0
2025-11-03,Tenis,0,0,0,0.0
2025-11-10,Tenis,0,0,0,0.0
2025-11-17,Tenis,0,0,0,0.0
2025-11-24,Tenis,1,0,1,100.0
2025-12-01,Tenis,0,1,1,100.0
2025-12-08,Tenis,0,0,0,0.0
2025-12-15,Tenis,0,0,0,0.0
2025-12-22,Tenis,1,0,1,100.0
2025-12-29,Tenis,0,1,1,100.0
2026-01-05,Tenis,0,0,0,0.0
2026-01-12,Tenis,0,0,0,0.0
2026-01-19,Tenis,0,0,0,0.0
2026-01-26,Tenis,1,0,1,100.0
2026-02-02,Tenis,0,1,1,100.0
2026-02-09,Tenis,1,0,1,100.0
2026-02-16,Tenis,0,1,1,100.0
2026-02-23,Tenis,0,0,0,0.0
2026-03-02,Tenis,0,0,0,0.0
2026-03-09,Tenis,0,0,0,0.0
2026-03-16,Tenis,0,0,0,0.0
